year,dimd,sex,<1,01-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+     
2011,7,Female,"28,035","111,985","132,013","140,564","151,870","154,059","156,928","162,863","172,706","199,100","204,664","183,507","165,497","182,455","150,883","119,190","100,801","80,756","54,814","34,156"
2011,8,Male,"29,121","117,867","141,174","150,876","162,007","156,444","151,833","154,046","169,002","195,841","201,604","180,509","160,805","175,373","143,270","109,060","86,000","59,306","31,161","12,856"
2011,8,Female,"28,093","112,574","134,433","143,194","151,431","146,205","148,769","157,834","174,227","202,078","207,588","183,291","166,021","184,156","151,767","119,364","101,045","80,822","54,369","33,548"
2011,9,Male,"28,048","117,187","145,298","155,991","169,388","148,174","135,444","141,607","165,842","197,575","205,819","184,062","162,941","177,376","145,180","109,800","87,964","60,710","32,161","12,916"
2011,9,Female,"26,677","111,088","137,853","147,372","159,365","132,629","131,682","148,018","173,966","206,466","213,036","187,799","168,065","186,954","154,652","121,275","101,999","81,674","54,040","32,662"
2011,10,Male,"26,151","115,818","153,229","166,514","168,131","126,743","109,304","117,891","156,621","195,963","209,982","188,566","165,463","178,303","145,418","108,896","89,957","62,641","32,777","12,828"
2011,10,Female,"24,358","110,595","145,089","158,384","158,437","115,617","105,981","128,675","169,705","209,025","220,720","192,542","169,966","188,156","153,857","121,078","103,227","81,155","52,077","30,603"
2012,1,Male,"48,764","184,375","197,300","178,251","188,636","205,289","210,124","197,068","174,081","179,611","173,062","153,321","129,439","117,615","97,319","73,913","57,265","38,086","19,516","8,006"
2012,1,Female,"46,944","175,281","188,546","170,557","181,792","216,142","225,910","199,587","169,143","179,697","173,932","153,056","127,513","115,306","99,411","83,267","72,387","57,771","37,633","23,253"
2012,2,Male,"45,639","169,236","182,504","166,371","181,700","217,980","229,696","215,200","183,600","187,952","180,159","157,096","129,878","117,665","98,992","75,373","58,993","40,390","21,753","9,142"
2012,2,Female,"43,579","161,496","173,316","160,168","175,905","224,192","239,087","214,916","182,036","189,832","183,672","159,206","131,389","119,943","105,634","85,976","74,971","62,323","41,922","25,932"
2012,3,Male,"42,531","155,032","165,553","153,403","174,330","226,498","239,798","224,800","187,692","190,176","184,553","162,142","136,098","126,390","110,109","80,741","64,662","44,841","24,064","10,200"
2012,3,Female,"40,118","148,275","157,660","146,358","168,191","228,378","239,368","216,539","180,853","189,252","185,792","162,967","138,197","130,362","116,218","91,904","80,960","66,747","45,375","28,874"
2012,4,Male,"38,464","141,466","152,143","145,728","168,052","219,037","219,149","212,241","184,193","192,140","190,138","168,807","144,693","139,546","126,258","91,649","72,050","50,083","26,775","11,528"
2012,4,Female,"36,698","135,346","146,240","138,982","161,132","217,720","217,573","205,613","177,339","189,892","189,542","170,560","147,977","145,108","132,245","102,056","87,412","72,446","48,915","31,381"
2012,5,Male,"34,279","129,854","145,835","143,140","161,302","191,806","194,172","191,283","172,844","188,637","193,087","175,279","152,474","151,945","140,685","100,796","79,892","55,344","29,680","12,584"
2012,5,Female,"32,818","124,539","139,112","137,095","153,007","185,406","192,297","187,427","170,796","191,733","195,751","177,908","157,750","157,629","147,981","111,435","95,465","77,815","52,311","33,750"
2012,6,Male,"32,621","127,451","144,457","144,681","157,422","171,367","178,138","179,998","172,062","191,987","199,198","180,706","159,045","159,541","149,848","107,317","84,938","59,189","31,240","13,895"
2012,6,Female,"31,218","121,465","138,355","137,513","148,737","162,701","177,330","180,682","171,847","195,574","203,018","183,741","164,439","167,359","158,868","117,108","100,060","81,115","54,935","35,506"
2012,7,Male,"30,325","119,264","141,877","144,914","160,594","164,212","159,120","162,682","162,749","190,474","201,260","183,880","163,119","164,390","156,375","110,097","88,326","61,008","32,310","13,647"
2012,7,Female,"28,715","113,878","135,178","137,715","149,414","155,422","156,584","165,877","166,807","195,984","206,371","188,123","167,767","173,091","165,166","121,089","102,767","82,160","54,542","35,786"
2012,8,Male,"30,086","119,283","144,563","148,105","160,025","158,157","151,019","155,299","162,366","192,859","202,611","185,308","162,749","165,287","157,702","110,906","88,394","61,208","32,331","14,072"
2012,8,Female,"28,081","114,298","137,826","139,688","149,652","146,983","149,339","160,001","167,773","199,621","209,107","188,857","167,498","174,128","167,171","121,588","102,937","82,202","54,208","35,307"
2012,9,Male,"28,313","117,913","148,347","152,463","167,955","150,808","135,464","142,372","158,069","194,485","206,023","189,303","164,919","166,463","160,484","111,246","90,593","62,990","33,487","14,072"
2012,9,Female,"26,927","111,629","141,004","144,363","156,771","134,397","131,246","149,339","166,939","203,882","213,927","192,724","169,890","176,676","170,503","123,072","104,358","83,380","54,524","34,507"
2012,10,Male,"25,757","116,263","155,911","162,781","165,604","128,241","108,909","117,073","149,557","193,047","209,307","192,591","167,441","167,338","160,836","110,512","91,913","65,120","34,291","14,102"
2012,10,Female,"24,564","110,571","147,855","155,595","156,085","116,815","105,254","129,220","162,607","205,881","221,098","197,946","171,394","177,112","170,252","122,388","105,747","83,204","52,613","32,537"
2013,1,Male,"47,434","186,732","205,061","178,119","185,404","203,610","210,847","201,945","173,188","177,876","174,480","157,159","132,690","116,362","101,347","73,585","58,058","38,224","19,554","8,286"
2013,1,Female,"45,198","178,990","195,705","170,632","178,035","212,825","227,995","206,757","167,957","178,105","174,850","157,228","131,117","114,523","102,538","82,682","72,739","56,619","36,845","23,172"
2013,2,Male,"44,546","172,888","189,943","165,770","179,032","217,976","231,015","221,513","184,023","186,325","182,190","161,635","133,689","116,620","103,301","75,773","60,070","40,819","21,496","9,359"
2013,2,Female,"42,361","164,855","181,355","159,081","172,593","222,554","241,483","222,500","181,171","188,041","186,028","164,957","135,381","119,108","109,329","86,333","75,415","61,490","41,083","25,890"
2013,3,Male,"41,691","158,595","172,797","152,497","171,867","224,981","241,237","231,521","187,788","189,099","186,477","167,062","139,337","125,175","115,214","81,808","66,048","44,920","24,271","10,796"
2013,3,Female,"39,152","151,050","164,553","145,591","164,953","225,953","240,422","223,994","179,992","187,564","187,246","168,409","142,348","128,649","121,288","92,872","81,831","66,171","44,828","29,163"
2013,4,Male,"37,278","144,564","158,802","144,110","164,762","217,678","220,809","216,776","183,052","190,488","190,841","173,606","148,082","137,207","131,488","93,828","74,002","51,006","27,216","12,020"
2013,4,Female,"35,534","137,883","152,279","137,497","158,902","215,169","218,731","210,478","176,015","187,653","190,598","175,326","151,436","142,065","138,565","103,886","88,694","72,126","48,516","31,755"
2013,5,Male,"33,944","132,521","150,937","140,964","160,640","191,446","195,662","195,420","170,273","186,820","192,387","180,055","155,501","148,206","147,118","103,785","82,206","56,230","30,295","13,339"
2013,5,Female,"32,146","126,765","144,361","135,100","152,148","184,191","192,658","192,159","168,106","188,089","196,302","182,789","160,471","154,872","154,522","114,125","97,216","78,048","51,905","34,399"
2013,6,Male,"32,324","129,468","149,492","142,347","156,686","170,866","179,954","182,958","168,959","189,674","198,961","185,490","162,137","155,252","156,642","110,857","88,078","60,367","32,366","14,459"
2013,6,Female,"30,386","122,716","143,030","135,330","147,896","161,547","177,432","183,732","168,080","192,348","203,686","188,965","166,995","162,603","166,419","121,059","101,942","81,833","54,550","36,629"
2013,7,Male,"29,213","120,629","146,086","142,504","160,071","164,937","160,373","164,830","158,762","187,642","200,176","188,718","164,983","159,580","163,721","113,864","91,162","62,443","33,422","14,247"
2013,7,Female,"27,708","115,089","138,706","135,788","149,090","153,894","157,198","168,248","163,021","192,577","206,152","192,518","170,395","168,188","172,977","125,105","105,008","82,908","54,677","36,435"
2013,8,Male,"28,904","121,036","148,798","145,946","158,788","158,608","153,021","157,229","158,210","189,077","202,361","189,529","165,329","160,119","164,582","114,909","91,154","62,920","33,340","14,953"
2013,8,Female,"27,305","115,648","141,480","137,697","148,785","146,756","150,246","162,471","163,415","195,682","209,029","194,072","170,338","168,280","174,925","126,031","105,464","83,164","54,442","36,417"
2013,9,Male,"27,111","118,844","151,360","150,959","167,085","150,859","137,505","143,150","152,654","191,126","204,941","193,007","168,069","160,799","167,822","115,703","93,574","64,860","34,391","14,742"
2013,9,Female,"25,890","112,718","143,897","142,405","155,808","134,731","132,299","150,566","162,261","200,303","213,023","198,000","172,572","170,470","179,074","127,757","107,535","84,257","55,210","35,634"
2013,10,Male,"24,846","116,252","158,708","160,509","166,329","128,401","110,201","116,415","144,526","189,465","206,885","196,568","169,766","160,684","168,445","114,811","94,577","67,344","35,559","15,115"
2013,10,Female,"23,560","110,356","150,569","153,547","155,878","116,756","106,244","129,363","157,721","201,939","219,161","202,420","173,588","171,009","178,482","127,001","108,701","84,516","53,488","33,603"
2014,1,Male,"46,544","189,018","211,767","179,177","184,108","203,996","212,708","205,387","175,331","175,079","175,498","161,646","136,144","117,130","103,799","74,257","58,631","38,292","19,858","8,713"
2014,1,Female,"44,406","180,711","202,181","172,065","177,141","210,825","229,214","211,607","171,248","174,451","176,499","162,061","134,754","115,124","105,258","82,309","72,828","56,054","36,599","23,641"
2014,2,Male,"43,369","175,264","197,011","166,407","178,062","216,428","232,443","225,241","187,808","183,489","183,800","166,234","138,010","117,484","106,012","76,878","61,313","41,068","21,996","9,949"
2014,2,Female,"41,220","167,111","188,107","159,975","170,449","219,451","243,029","226,549","185,047","184,655","187,340","170,100","139,758","119,924","112,003","86,902","76,220","60,789","40,874","26,783"
2014,3,Male,"40,710","161,493","178,677","153,112","171,023","226,470","243,535","235,060","192,752","186,707","187,078","172,555","143,922","125,321","118,105","84,113","67,391","45,385","24,875","11,459"
2014,3,Female,"38,639","153,034","170,541","145,599","164,050","225,910","241,617","226,953","183,780","183,940","188,596","173,744","146,401","128,493","124,536","94,819","82,902","65,489","44,957","29,969"
2014,4,Male,"36,525","146,675","164,515","144,526","163,784","218,092","223,201","219,624","186,363","187,683","191,097","178,721","151,945","136,801","134,346","97,185","75,982","51,848","28,165","12,690"
2014,4,Female,"34,650","139,950","157,302","137,879","159,170","214,399","220,227","212,760","178,616","183,603","191,552","180,320","155,233","141,856","141,899","106,791","90,338","71,806","48,722","32,848"
2014,5,Male,"32,588","134,574","155,059","140,882","158,305","192,342","198,788","196,697","172,602","182,598","191,603","184,860","159,526","146,378","149,978","108,276","84,427","57,530","31,290","14,056"
2014,5,Female,"31,517","128,542","148,441","134,522","150,653","183,334","194,025","192,922","170,138","183,122","196,235","187,763","164,057","154,274","157,516","118,146","99,178","78,452","52,347","35,392"
2014,6,Male,"31,612","130,636","153,756","141,031","155,719","171,655","181,248","183,438","169,864","185,280","198,002","190,716","166,014","152,808","159,856","116,174","90,715","61,543","33,715","15,425"
2014,6,Female,"30,024","123,997","146,325","135,028","145,933","161,087","178,529","184,070","168,612","188,170","202,782","194,435","170,662","161,042","169,484","126,367","104,532","81,984","55,606","37,948"
2014,7,Male,"29,003","122,362","149,201","141,730","158,707","166,629","162,266","164,894","158,785","183,003","198,892","193,263","168,432","157,094","166,541","119,361","94,169","64,033","34,749","15,224"
2014,7,Female,"27,351","116,363","142,171","135,101","147,427","154,419","158,935","168,449","162,830","187,745","204,634","198,393","173,390","166,025","176,008","131,321","107,786","83,506","55,362","37,917"
2014,8,Male,"28,525","122,004","151,438","145,042","158,351","159,963","154,922","156,853","157,570","184,222","201,167","194,228","168,375","157,254","167,646","120,673","94,262","64,652","35,015","15,828"
2014,8,Female,"26,942","116,193","144,317","137,305","147,763","146,772","151,268","161,749","162,946","190,907","208,007","199,501","173,409","166,080","178,064","132,041","108,381","84,331","55,875","37,935"
2014,9,Male,"26,943","119,140","153,881","149,870","165,486","151,694","139,881","141,887","151,325","185,563","203,482","197,417","170,995","158,148","169,866","122,427","96,438","66,875","35,911","15,873"
2014,9,Female,"25,783","113,162","145,854","141,462","154,996","135,008","133,175","149,696","161,367","194,942","211,590","203,219","175,986","167,520","182,293","134,679","110,586","85,451","56,340","37,242"
2014,10,Male,"24,501","116,254","159,844","159,720","165,220","130,091","112,207","115,230","142,373","184,806","204,600","200,202","172,782","157,670","170,441","121,237","97,035","69,354","37,425","16,348"
2014,10,Female,"23,331","110,291","151,977","152,622","154,607","117,852","107,164","128,143","156,647","197,439","215,909","207,910","176,786","167,505","181,810","133,456","111,844","85,919","55,430","35,165"
2015,1,Male,"46,598","190,337","218,237","183,009","185,277","202,770","215,853","209,291","180,683","173,112","176,188","165,459","140,900","117,915","106,529","74,898","58,526","38,362","20,354","8,970"
2015,1,Female,"44,117","181,901","207,858","175,786","176,976","208,999","231,895","215,109","178,730","171,478","177,090","166,641","139,657","116,222","107,653","82,148","72,566","55,135","36,135","23,463"
2015,2,Male,"43,262","175,892","203,653","170,105","178,366","216,899","235,588","229,557","194,626","181,978","184,870","171,152","143,430","118,719","108,938","77,675","61,727","41,234","22,271","10,165"
2015,2,Female,"40,794","167,493","193,633","162,951","170,302","218,710","245,769","230,776","191,300","181,945","187,837","175,573","145,533","121,070","114,637","87,667","76,166","59,900","40,783","26,424"
2015,3,Male,"40,514","162,797","184,715","155,568","170,174","226,405","246,620","238,604","199,162","184,678","187,471","176,710","149,117","126,013","120,574","86,689","67,801","46,162","25,349","11,652"
2015,3,Female,"38,020","154,239","176,279","147,960","163,136","225,768","243,851","229,396","190,966","181,112","188,574","178,573","151,727","129,450","127,378","96,866","82,886","65,033","44,842","29,748"
2015,4,Male,"36,387","147,181","169,354","145,786","164,546","216,866","226,008","221,397","192,028","184,767","190,132","183,946","156,546","136,793","137,193","100,470","76,923","52,497","28,981","13,068"
2015,4,Female,"34,535","140,208","161,926","139,301","158,476","213,243","220,722","213,600","183,484","180,714","190,578","185,513","160,347","141,674","144,848","110,231","91,150","71,457","48,922","32,740"
2015,5,Male,"33,075","134,441","159,420","141,742","157,011","192,620","201,029","198,270","177,025","178,961","190,302","188,875","164,273","145,861","152,244","112,579","85,679","58,183","32,289","14,404"
2015,5,Female,"31,667","128,814","152,853","135,951","149,725","183,064","194,930","194,069","174,097","179,602","194,426","192,668","168,802","153,792","160,151","122,515","100,132","78,385","52,827","35,175"
2015,6,Male,"31,584","131,217","158,157","141,671","153,886","171,003","184,378","183,955","173,001","181,644","195,751","196,022","170,250","152,805","161,401","120,725","92,541","63,037","34,819","15,893"
2015,6,Female,"30,065","124,388","150,431","135,768","144,759","160,461","179,510","184,237","171,718","184,220","200,896","199,891","174,970","160,639","171,589","131,334","105,748","82,370","56,007","37,798"
2015,7,Male,"29,189","122,423","152,071","141,752","156,571","166,359","164,747","165,507","161,340","178,773","196,499","198,097","172,596","155,915","168,049","125,195","95,537","65,615","35,731","15,804"
2015,7,Female,"27,774","116,069","145,435","135,386","145,879","153,456","160,140","167,912","165,494","182,560","202,695","203,292","178,481","164,559","178,221","136,644","109,264","84,125","56,046","37,961"
2015,8,Male,"28,253","121,843","154,861","145,997","156,491","159,028","157,050","156,766","159,113","180,311","198,860","198,086","173,060","155,705","168,732","126,550","96,005","66,366","36,243","16,394"
2015,8,Female,"27,427","116,358","147,648","137,744","145,882","144,910","151,978","161,419","165,005","186,613","205,050","204,777","177,109","164,402","180,484","138,303","109,910","84,525","57,393","38,114"
2015,9,Male,"26,940","118,927","156,606","150,027","163,827","151,459","142,015","140,713","152,135","180,688","200,722","201,501","175,110","156,780","170,552","128,654","98,082","68,936","37,323","16,673"
2015,9,Female,"25,407","113,000","148,625","141,826","153,670","134,659","134,325","147,963","162,736","190,279","208,600","208,312","179,850","165,414","183,867","141,429","112,449","86,432","57,844","37,438"
2015,10,Male,"24,427","115,101","161,831","159,580","164,365","129,059","114,092","113,823","141,529","180,228","201,012","203,530","176,379","156,176","170,572","127,803","98,069","71,189","39,003","17,322"
2015,10,Female,"22,942","109,074","153,870","152,385","153,970","116,519","107,468","125,664","156,746","192,791","211,807","212,382","180,185","164,817","183,523","140,245","113,067","87,357","57,159","35,762"
2016,1,Male,"46,412","190,301","224,329","189,921","183,865","201,952","221,892","213,895","186,490","171,088","177,695","168,716","144,882","120,146","108,862","76,716","57,577","38,997","20,756","9,168"
2016,1,Female,"44,465","181,604","212,755","182,012","175,758","205,300","235,320","219,348","185,194","168,645","178,900","169,992","144,494","118,895","109,383","83,278","71,131","54,970","36,214","23,375"
2016,2,Male,"43,374","175,768","208,627","175,850","177,812","217,621","240,968","234,047","201,615","179,896","186,224","174,736","148,905","121,412","110,827","80,291","61,026","41,690","22,780","10,503"
2016,2,Female,"41,199","166,851","198,021","168,321","169,265","217,008","247,658","233,904","197,799","178,426","188,792","179,707","151,060","124,207","116,394","89,983","74,942","59,348","40,870","26,823"
2016,3,Male,"40,827","162,594","188,793","160,629","169,387","226,079","251,493","242,586","206,456","181,744","189,422","180,106","154,427","127,889","122,476","89,943","67,531","46,761","26,206","12,142"
2016,3,Female,"38,188","153,885","180,318","152,381","162,438","222,692","245,734","231,636","196,840","178,069","188,747","182,681","156,856","131,960","128,889","100,285","81,944","64,900","44,960","30,226"
2016,4,Male,"36,783","146,370","173,095","149,961","162,513","217,368","229,905","223,171","197,766","180,434","190,254","187,726","161,711","138,734","138,258","104,928","76,938","53,249","29,920","13,514"
2016,4,Female,"34,917","139,338","165,813","142,561","156,694","212,728","222,021","214,306","188,902","176,694","190,740","189,033","165,586","143,457","145,842","114,896","90,551","71,322","49,841","33,070"
2016,5,Male,"33,527","133,839","163,013","144,780","155,285","191,311","205,030","199,323","181,774","174,279","189,980","191,393","169,829","147,078","152,933","118,587","85,732","59,541","33,355","15,134"
2016,5,Female,"31,730","128,464","156,318","138,756","148,432","180,952","196,360","193,830","178,650","174,610","193,823","196,084","173,734","154,981","161,545","128,485","99,459","78,936","53,562","35,731"
2016,6,Male,"32,011","130,298","161,827","144,720","151,277","170,134","186,625","185,071","176,537","175,924","194,681","199,099","175,507","153,861","162,234","127,245","92,085","64,679","36,022","16,871"
2016,6,Female,"30,636","123,673","153,569","138,360","142,462","157,146","180,639","183,707","175,868","177,823","199,833","203,726","179,919","161,621","172,308","138,152","105,304","83,252","56,976","38,469"
2016,7,Male,"29,373","122,075","155,285","144,460","154,019","165,125","168,880","165,892","165,279","172,641","194,992","201,065","177,092","156,985","167,715","132,906","95,498","67,212","37,167","16,797"
2016,7,Female,"28,084","115,959","148,898","137,500","144,484","151,401","161,718","167,443","169,061","176,235","201,489","206,274","183,611","164,726","178,877","144,121","109,380","85,149","57,153","38,456"
2016,8,Male,"28,914","121,265","157,877","148,247","154,569","156,953","159,385","157,089","161,841","173,424","197,662","200,493","178,444","156,496","167,825","134,258","96,102","68,115","38,277","17,191"
2016,8,Female,"27,572","116,107","149,974","140,382","144,448","141,614","153,681","160,186","167,741","179,406","203,639","208,586","182,285","164,768","180,895","146,066","110,105","86,311","58,319","38,930"
2016,9,Male,"27,251","118,165","158,657","152,663","160,874","149,055","144,525","140,469","153,941","173,558","199,408","203,633","179,340","157,360","169,995","136,550","97,918","70,942","38,534","17,669"
2016,9,Female,"25,932","112,142","151,151","144,034","150,888","131,992","135,951","146,670","165,075","183,125","207,037","211,226","184,908","165,235","184,097","149,851","112,734","87,739","59,320","38,573"
2016,10,Male,"24,726","113,766","164,180","161,190","162,198","128,493","115,513","113,354","142,147","173,439","199,506","204,616","180,282","156,644","169,453","136,021","97,425","73,033","40,998","18,392"
2016,10,Female,"23,182","107,479","155,766","153,526","152,742","115,032","108,289","123,696","158,035","185,806","210,255","214,203","184,788","164,518","183,247","148,727","112,664","89,213","59,016","36,812"
